id,code,name,user_type_id/id,chart_template_id/id,reconcile
2110,2110,Cuentas por Pagar de Partes Relacionadas,account.data_account_type_payable,l10n_gt_coa.gt_coa_template,True
2111,2111,Cuentas por Pagar de Otras Partes,account.data_account_type_payable,l10n_gt_coa.gt_coa_template,True
2119,2119,Otras Cuentas por Pagar,account.data_account_type_payable,l10n_gt_coa.gt_coa_template,True
2202,2202,Inventario Recibido en Consignación,account.data_account_type_current_liabilities,l10n_gt_coa.gt_coa_template,True
2280,2280,Débito Fiscal por Impuesto al Valor Agregado,account.data_account_type_current_liabilities,l10n_gt_coa.gt_coa_template,False
2281,2281,Débito Fiscal por Impuesto Sobre la Renta,account.data_account_type_current_liabilities,l10n_gt_coa.gt_coa_template,False
2282,2282,Débito Fiscal por Provisiones Tributarias,account.data_account_type_current_liabilities,l10n_gt_coa.gt_coa_template,False
2289,2289,Otros Pasivos por Impuestos Corrientes,account.data_account_type_current_liabilities,l10n_gt_coa.gt_coa_template,False
2299,2299,Otros Pasivos Corrientes,account.data_account_type_current_liabilities,l10n_gt_coa.gt_coa_template,False
2300,2300,Anticipos y Prepagos Comerciales Recibidos,account.data_account_type_current_liabilities,l10n_gt_coa.gt_coa_template,False
2400,2400,Provisión por Bonificaciones de Ley,account.data_account_type_current_liabilities,l10n_gt_coa.gt_coa_template,False
2401,2401,Provisión por Aguinaldos,account.data_account_type_current_liabilities,l10n_gt_coa.gt_coa_template,False
2402,2402,Provisión por Vacaciones,account.data_account_type_current_liabilities,l10n_gt_coa.gt_coa_template,False
2409,2409,Otras Provisiones Laborales,account.data_account_type_current_liabilities,l10n_gt_coa.gt_coa_template,False
2500,2500,Prestamos Bancarios a Largo Plazo,account.data_account_type_non_current_liabilities,l10n_gt_coa.gt_coa_template,False
2509,2509,Otros Préstamos no Corrientes,account.data_account_type_non_current_liabilities,l10n_gt_coa.gt_coa_template,False
2519,2519,Otras Obligaciones Financieras no Corrientes,account.data_account_type_non_current_liabilities,l10n_gt_coa.gt_coa_template,False
2599,2599,Otros Pasivos no Corrientes,account.data_account_type_non_current_liabilities,l10n_gt_coa.gt_coa_template,False
3000,3000,Capital Social Autorizado,account.data_account_type_equity,l10n_gt_coa.gt_coa_template,False
3001,3001,Capital Social en Acciones por Suscribir,account.data_account_type_equity,l10n_gt_coa.gt_coa_template,False
3002,3002,Capital Social en Acciones Suscritas y Pagadas,account.data_account_type_equity,l10n_gt_coa.gt_coa_template,False
3003,3003,Aportes por Capitalizar,account.data_account_type_equity,l10n_gt_coa.gt_coa_template,False
3010,3010,Reserva Legal,account.data_account_type_equity,l10n_gt_coa.gt_coa_template,False
3011,3011,Utilidad (Pérdida) Acumulada Períodos Anteriores,account.data_account_type_equity,l10n_gt_coa.gt_coa_template,False
3019,3019,Otras Reservas Acumuladas,account.data_account_type_equity,l10n_gt_coa.gt_coa_template,False
3100,3100,Utilidad (Pérdida) del Período,account.data_unaffected_earnings,l10n_gt_coa.gt_coa_template,False
4000,4000,Ingresos por Venta de Bienes,account.data_account_type_revenue,l10n_gt_coa.gt_coa_template,False
4001,4001,Ingresos por Prestación de Servicios,account.data_account_type_revenue,l10n_gt_coa.gt_coa_template,False
4002,4002,Ingresos por Comisiones,account.data_account_type_revenue,l10n_gt_coa.gt_coa_template,False
4009,4009,Otros Ingresos por Actividades Ordinarias,account.data_account_type_revenue,l10n_gt_coa.gt_coa_template,False
4100,4100,Devoluciones por Venta de Bienes,account.data_account_type_revenue,l10n_gt_coa.gt_coa_template,False
4101,4101,Devoluciones por Prestación de Servicios,account.data_account_type_revenue,l10n_gt_coa.gt_coa_template,False
4102,4102,Descuentos por Ventas,account.data_account_type_revenue,l10n_gt_coa.gt_coa_template,False
4109,4109,Otros Descuentos y Devoluciones por Actividades Ordinarias,account.data_account_type_revenue,l10n_gt_coa.gt_coa_template,False
4900,4900,Ingresos por Diferencia Cambiaria,account.data_account_type_other_income,l10n_gt_coa.gt_coa_template,False
4901,4901,Ingresos por Intereses,account.data_account_type_other_income,l10n_gt_coa.gt_coa_template,False
4902,4902,Ingresos por Dividendos,account.data_account_type_other_income,l10n_gt_coa.gt_coa_template,False
4909,4909,Otros Ingresos Financieros,account.data_account_type_other_income,l10n_gt_coa.gt_coa_template,False
4910,4910,Ingresos por Sobrante de Caja,account.data_account_type_other_income,l10n_gt_coa.gt_coa_template,False
4911,4911,Ingresos por Venta de Activos,account.data_account_type_other_income,l10n_gt_coa.gt_coa_template,False
4912,4912,Ingresos por Cobro de Cuentas Incobrables,account.data_account_type_other_income,l10n_gt_coa.gt_coa_template,False
4919,4919,Otros Ingresos Varios,account.data_account_type_other_income,l10n_gt_coa.gt_coa_template,False
5000,5000,Costo de Productos Para la Venta,account.data_account_type_direct_costs,l10n_gt_coa.gt_coa_template,False
5010,5010,Costos de Importación,account.data_account_type_direct_costs,l10n_gt_coa.gt_coa_template,False
6000,6000,Sueldos y Salarios Ordinarios,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6001,6001,Sueldos y Salarios Extraordinarios,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6002,6002,Comisiones ,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6003,6003,Bonificaciones Por Productividad,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6004,6004,Bonificaciones De Ley,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6005,6005,Vacaciones,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6006,6006,Cuotas Patronales y Seguridad Social,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6007,6007,Indemnizaciones y Cesantías,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6009,6009,Otros Beneficios Monetarios de Personal,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6010,6010,Seguro Privado,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6011,6011,Subvención de Transporte y Combustible,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6012,6012,Diplomados y Capacitaciones Relevantes al Giro del Negocio,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6019,6019,Otros Beneficios No Monetarios de Personal,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
